Tanggal,Deskripsi,Jumlah (Rp),Kategori,Sub-kategori,Metode Pembayaran,Catatan
2025-05-22,Pembayaran Hiburan,363224.0,Pengeluaran,Hiburan,Tunai,
2025-05-21,Pembayaran Kesehatan,230881.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-05-21,Pembayaran Kesehatan,269243.0,Pengeluaran,Kesehatan,E-Wallet,
2025-05-21,Pembayaran Kesehatan,189839.0,Pengeluaran,Kesehatan,Tunai,
2025-05-21,Pembayaran Kesehatan,230881.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-05-21,Pembayaran Kesehatan,269243.0,Pengeluaran,Kesehatan,E-Wallet,
2025-05-21,Pembayaran Kesehatan,189839.0,Pengeluaran,Kesehatan,Tunai,
2025-05-20,Pembayaran Belanja,257570.0,Pengeluaran,Belanja,Tunai,
2025-05-20,Pembayaran Makanan,490977.0,Pengeluaran,Makanan,E-Wallet,
2025-05-20,Pembayaran Makanan,490977.0,Pengeluaran,Makanan,E-Wallet,
2025-05-20,Pembayaran Belanja,257570.0,Pengeluaran,Belanja,Tunai,
2025-05-19,Pembayaran Transportasi,464965.0,Pengeluaran,Transportasi,Tunai,
2025-05-19,Pembayaran Transportasi,464965.0,Pengeluaran,Transportasi,Tunai,
2025-05-18,Pembayaran Makanan,62852.0,Pengeluaran,Makanan,Transfer Bank,
2025-05-18,Pembayaran Belanja,100559.0,Pengeluaran,Belanja,Debit,
2025-05-18,Pembayaran Makanan,62852.0,Pengeluaran,Makanan,Transfer Bank,
2025-05-18,Pembayaran Belanja,100559.0,Pengeluaran,Belanja,Debit,
2025-05-16,Pembayaran Hiburan,163746.0,Pengeluaran,Hiburan,Tunai,
2025-05-16,Pembayaran Lainnya,64609.0,Pengeluaran,Lainnya,Transfer Bank,
2025-05-16,Pembayaran Kesehatan,219727.0,Pengeluaran,Kesehatan,E-Wallet,
2025-05-16,Pembayaran Kesehatan,219727.0,Pengeluaran,Kesehatan,E-Wallet,
2025-05-16,Pembayaran Lainnya,64609.0,Pengeluaran,Lainnya,Transfer Bank,
2025-05-16,Pembayaran Hiburan,163746.0,Pengeluaran,Hiburan,Tunai,
2025-05-14,Pembayaran Makanan,296777.0,Pengeluaran,Makanan,Transfer Bank,
2025-05-14,Pembayaran Makanan,296777.0,Pengeluaran,Makanan,Transfer Bank,
2025-05-13,Pembayaran Hiburan,128090.0,Pengeluaran,Hiburan,Transfer Bank,
2025-05-13,Pembayaran Makanan,191676.0,Pengeluaran,Makanan,E-Wallet,
2025-05-13,Pembayaran Kesehatan,350000.0,Pengeluaran,Kesehatan,E-Wallet,
2025-05-13,Pembayaran Hiburan,128090.0,Pengeluaran,Hiburan,Transfer Bank,
2025-05-13,Pembayaran Makanan,191676.0,Pengeluaran,Makanan,E-Wallet,
2025-05-13,Pembayaran Kesehatan,350000.0,Pengeluaran,Kesehatan,E-Wallet,
2025-05-12,Bonus Kinerja,929115.0,Pendapatan,Bonus,Transfer Bank,
2025-05-12,Pembayaran Kesehatan,189689.0,Pengeluaran,Kesehatan,Transfer Bank,
2025-05-12,Bonus Kinerja,929115.0,Pendapatan,Bonus,Transfer Bank,
2025-05-12,Pembayaran Kesehatan,189689.0,Pengeluaran,Kesehatan,Transfer Bank,
2025-05-11,Pembayaran Makanan,142768.0,Pengeluaran,Makanan,Tunai,
2025-05-11,Pembayaran Belanja,111199.0,Pengeluaran,Belanja,Tunai,
2025-05-11,Pembayaran Transportasi,55473.0,Pengeluaran,Transportasi,Transfer Bank,
2025-05-11,Pembayaran Makanan,142768.0,Pengeluaran,Makanan,Tunai,
2025-05-11,Pembayaran Belanja,111199.0,Pengeluaran,Belanja,Tunai,
2025-05-11,Pembayaran Transportasi,55473.0,Pengeluaran,Transportasi,Transfer Bank,
2025-05-10,Pembayaran Kesehatan,41800.0,Pengeluaran,Kesehatan,Tunai,
2025-05-10,Pembayaran Kesehatan,41800.0,Pengeluaran,Kesehatan,Tunai,
2025-05-08,Pembayaran Makanan,345026.0,Pengeluaran,Makanan,Tunai,
2025-05-08,Pembayaran Kesehatan,447578.0,Pengeluaran,Kesehatan,E-Wallet,
2025-05-08,Pembayaran Kesehatan,440872.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-05-08,Pembayaran Makanan,345026.0,Pengeluaran,Makanan,Tunai,
2025-05-08,Pembayaran Kesehatan,447578.0,Pengeluaran,Kesehatan,E-Wallet,
2025-05-08,Pembayaran Kesehatan,440872.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-05-05,Pembayaran Belanja,98097.0,Pengeluaran,Belanja,Kartu Kredit,
2025-05-05,Pembayaran Belanja,98097.0,Pengeluaran,Belanja,Kartu Kredit,
2025-05-02,Pembayaran Lainnya,138588.0,Pengeluaran,Lainnya,Debit,
2025-05-02,Pembayaran Kesehatan,293558.0,Pengeluaran,Kesehatan,Tunai,
2025-05-02,Pembayaran Lainnya,138588.0,Pengeluaran,Lainnya,Debit,
2025-05-02,Pembayaran Kesehatan,293558.0,Pengeluaran,Kesehatan,Tunai,
2025-05-01,Pembayaran Hiburan,462198.0,Pengeluaran,Hiburan,Transfer Bank,
2025-05-01,Gaji Bulanan,7000000.0,Pendapatan,Gaji,Transfer Bank,
2025-05-01,Gaji Bulanan,7000000.0,Pendapatan,Gaji,Transfer Bank,
2025-05-01,Pembayaran Hiburan,462198.0,Pengeluaran,Hiburan,Transfer Bank,
2025-04-30,Pembayaran Hiburan,50037.0,Pengeluaran,Hiburan,Debit,
2025-04-30,Pembayaran Lainnya,260299.0,Pengeluaran,Lainnya,Tunai,
2025-04-30,Pembayaran Lainnya,260299.0,Pengeluaran,Lainnya,Tunai,
2025-04-30,Pembayaran Transportasi,321209.0,Pengeluaran,Transportasi,Debit,
2025-04-30,Pembayaran Transportasi,321209.0,Pengeluaran,Transportasi,Debit,
2025-04-30,Pembayaran Hiburan,50037.0,Pengeluaran,Hiburan,Debit,
2025-04-28,Pembayaran Kesehatan,463945.0,Pengeluaran,Kesehatan,Tunai,
2025-04-28,Pembayaran Lainnya,138384.0,Pengeluaran,Lainnya,Kartu Kredit,
2025-04-28,Pembayaran Lainnya,138384.0,Pengeluaran,Lainnya,Kartu Kredit,
2025-04-28,Pembayaran Kesehatan,463945.0,Pengeluaran,Kesehatan,Tunai,
2025-04-27,Pembayaran Lainnya,221349.0,Pengeluaran,Lainnya,Tunai,
2025-04-27,Pembayaran Lainnya,383560.0,Pengeluaran,Lainnya,E-Wallet,
2025-04-27,Pembayaran Hiburan,39181.0,Pengeluaran,Hiburan,Debit,
2025-04-27,Pembayaran Lainnya,383560.0,Pengeluaran,Lainnya,E-Wallet,
2025-04-27,Pembayaran Lainnya,221349.0,Pengeluaran,Lainnya,Tunai,
2025-04-27,Pembayaran Hiburan,39181.0,Pengeluaran,Hiburan,Debit,
2025-04-25,Pembayaran Lainnya,23795.0,Pengeluaran,Lainnya,Tunai,
2025-04-25,Pembayaran Transportasi,86907.0,Pengeluaran,Transportasi,Transfer Bank,
2025-04-25,Pembayaran Lainnya,23795.0,Pengeluaran,Lainnya,Tunai,
2025-04-25,Pembayaran Transportasi,86907.0,Pengeluaran,Transportasi,Transfer Bank,
2025-04-24,Pembayaran Belanja,53777.0,Pengeluaran,Belanja,Transfer Bank,
2025-04-24,Pembayaran Hiburan,98297.0,Pengeluaran,Hiburan,Tunai,
2025-04-24,Pembayaran Transportasi,191008.0,Pengeluaran,Transportasi,Debit,
2025-04-24,Pembayaran Belanja,53777.0,Pengeluaran,Belanja,Transfer Bank,
2025-04-24,Pembayaran Transportasi,191008.0,Pengeluaran,Transportasi,Debit,
2025-04-24,Pembayaran Hiburan,98297.0,Pengeluaran,Hiburan,Tunai,
2025-04-23,Pembayaran Kesehatan,426802.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-04-23,Pembayaran Belanja,311717.0,Pengeluaran,Belanja,Transfer Bank,
2025-04-23,Pembayaran Belanja,311717.0,Pengeluaran,Belanja,Transfer Bank,
2025-04-23,Pembayaran Kesehatan,426802.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-04-21,Pembayaran Lainnya,46669.0,Pengeluaran,Lainnya,Kartu Kredit,
2025-04-21,Pembayaran Lainnya,278667.0,Pengeluaran,Lainnya,Transfer Bank,
2025-04-21,Pembayaran Kesehatan,155497.0,Pengeluaran,Kesehatan,Transfer Bank,
2025-04-21,Pembayaran Lainnya,278667.0,Pengeluaran,Lainnya,Transfer Bank,
2025-04-21,Pembayaran Lainnya,46669.0,Pengeluaran,Lainnya,Kartu Kredit,
2025-04-21,Pembayaran Kesehatan,155497.0,Pengeluaran,Kesehatan,Transfer Bank,
2025-04-19,Pembayaran Transportasi,259042.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-04-19,Pembayaran Transportasi,259042.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-04-18,Pembayaran Makanan,312589.0,Pengeluaran,Makanan,Debit,
2025-04-18,Pembayaran Transportasi,195684.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-04-18,Pembayaran Hiburan,146348.0,Pengeluaran,Hiburan,Debit,
2025-04-18,Pembayaran Hiburan,146348.0,Pengeluaran,Hiburan,Debit,
2025-04-18,Pembayaran Makanan,312589.0,Pengeluaran,Makanan,Debit,
2025-04-18,Pembayaran Transportasi,195684.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-04-17,Pembayaran Hiburan,377676.0,Pengeluaran,Hiburan,Tunai,
2025-04-17,Pembayaran Hiburan,377676.0,Pengeluaran,Hiburan,Tunai,
2025-04-16,Pembayaran Kesehatan,481078.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-04-16,Pembayaran Kesehatan,481078.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-04-15,Pembayaran Kesehatan,307211.0,Pengeluaran,Kesehatan,Transfer Bank,
2025-04-15,Pembayaran Hiburan,177315.0,Pengeluaran,Hiburan,Tunai,
2025-04-15,Pembayaran Lainnya,357143.0,Pengeluaran,Lainnya,Debit,
2025-04-15,Pembayaran Hiburan,177315.0,Pengeluaran,Hiburan,Tunai,
2025-04-15,Pembayaran Kesehatan,307211.0,Pengeluaran,Kesehatan,Transfer Bank,
2025-04-15,Pembayaran Lainnya,357143.0,Pengeluaran,Lainnya,Debit,
2025-04-13,Pembayaran Lainnya,148545.0,Pengeluaran,Lainnya,E-Wallet,
2025-04-13,Pembayaran Makanan,46377.0,Pengeluaran,Makanan,E-Wallet,
2025-04-13,Pembayaran Makanan,46377.0,Pengeluaran,Makanan,E-Wallet,
2025-04-13,Pembayaran Lainnya,148545.0,Pengeluaran,Lainnya,E-Wallet,
2025-04-10,Pembayaran Kesehatan,190977.0,Pengeluaran,Kesehatan,E-Wallet,
2025-04-10,Pembayaran Makanan,167848.0,Pengeluaran,Makanan,Transfer Bank,
2025-04-10,Pembayaran Kesehatan,190977.0,Pengeluaran,Kesehatan,E-Wallet,
2025-04-10,Pembayaran Makanan,167848.0,Pengeluaran,Makanan,Transfer Bank,
2025-04-10,Pembayaran Hiburan,419464.0,Pengeluaran,Hiburan,Kartu Kredit,
2025-04-10,Pembayaran Hiburan,419464.0,Pengeluaran,Hiburan,Kartu Kredit,
2025-04-09,Pembayaran Kesehatan,105144.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-04-09,Pembayaran Kesehatan,105144.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-04-08,Pembayaran Makanan,56645.0,Pengeluaran,Makanan,Debit,
2025-04-08,Pembayaran Transportasi,317092.0,Pengeluaran,Transportasi,Tunai,
2025-04-08,Pembayaran Lainnya,223588.0,Pengeluaran,Lainnya,Transfer Bank,
2025-04-08,Pembayaran Makanan,56645.0,Pengeluaran,Makanan,Debit,
2025-04-08,Pembayaran Transportasi,317092.0,Pengeluaran,Transportasi,Tunai,
2025-04-08,Pembayaran Lainnya,223588.0,Pengeluaran,Lainnya,Transfer Bank,
2025-04-06,Pembayaran Makanan,216598.0,Pengeluaran,Makanan,E-Wallet,
2025-04-06,Pembayaran Makanan,216598.0,Pengeluaran,Makanan,E-Wallet,
2025-04-05,Pembayaran Kesehatan,176059.0,Pengeluaran,Kesehatan,Debit,
2025-04-05,Pembayaran Kesehatan,176059.0,Pengeluaran,Kesehatan,Debit,
2025-04-04,Pembayaran Makanan,211785.0,Pengeluaran,Makanan,E-Wallet,
2025-04-04,Pembayaran Hiburan,428380.0,Pengeluaran,Hiburan,Tunai,
2025-04-04,Pembayaran Makanan,42642.0,Pengeluaran,Makanan,Tunai,
2025-04-04,Pembayaran Hiburan,428380.0,Pengeluaran,Hiburan,Tunai,
2025-04-04,Pembayaran Makanan,211785.0,Pengeluaran,Makanan,E-Wallet,
2025-04-04,Pembayaran Makanan,42642.0,Pengeluaran,Makanan,Tunai,
2025-04-03,Pembayaran Belanja,55618.0,Pengeluaran,Belanja,Transfer Bank,
2025-04-03,Pembayaran Belanja,55618.0,Pengeluaran,Belanja,Transfer Bank,
2025-04-02,Pembayaran Transportasi,411717.0,Pengeluaran,Transportasi,Tunai,
2025-04-02,Pembayaran Transportasi,202634.0,Pengeluaran,Transportasi,E-Wallet,
2025-04-02,Pembayaran Kesehatan,170803.0,Pengeluaran,Kesehatan,Transfer Bank,
2025-04-02,Pembayaran Transportasi,202634.0,Pengeluaran,Transportasi,E-Wallet,
2025-04-02,Pembayaran Transportasi,411717.0,Pengeluaran,Transportasi,Tunai,
2025-04-02,Pembayaran Kesehatan,170803.0,Pengeluaran,Kesehatan,Transfer Bank,
2025-04-01,Gaji Bulanan,7000000.0,Pendapatan,Gaji,Transfer Bank,
2025-04-01,Pembayaran Makanan,49753.0,Pengeluaran,Makanan,Debit,
2025-04-01,Pembayaran Makanan,49753.0,Pengeluaran,Makanan,Debit,
2025-04-01,Gaji Bulanan,7000000.0,Pendapatan,Gaji,Transfer Bank,
2025-03-29,Pembayaran Hiburan,93978.0,Pengeluaran,Hiburan,Kartu Kredit,
2025-03-29,Pembayaran Hiburan,498518.0,Pengeluaran,Hiburan,Debit,
2025-03-29,Pembayaran Belanja,164668.0,Pengeluaran,Belanja,Debit,
2025-03-29,Pembayaran Belanja,164668.0,Pengeluaran,Belanja,Debit,
2025-03-29,Pembayaran Hiburan,498518.0,Pengeluaran,Hiburan,Debit,
2025-03-29,Pembayaran Hiburan,93978.0,Pengeluaran,Hiburan,Kartu Kredit,
2025-03-28,Pembayaran Transportasi,353973.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-03-28,Pembayaran Transportasi,259545.0,Pengeluaran,Transportasi,Debit,
2025-03-28,Pembayaran Transportasi,353973.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-03-28,Pembayaran Transportasi,259545.0,Pengeluaran,Transportasi,Debit,
2025-03-27,Pembayaran Belanja,228836.0,Pengeluaran,Belanja,E-Wallet,
2025-03-27,Pembayaran Makanan,307310.0,Pengeluaran,Makanan,Debit,
2025-03-27,Pembayaran Makanan,307310.0,Pengeluaran,Makanan,Debit,
2025-03-27,Pembayaran Belanja,228836.0,Pengeluaran,Belanja,E-Wallet,
2025-03-25,Pembayaran Belanja,494686.0,Pengeluaran,Belanja,E-Wallet,
2025-03-25,Pembayaran Belanja,320110.0,Pengeluaran,Belanja,Debit,
2025-03-25,Pembayaran Belanja,494686.0,Pengeluaran,Belanja,E-Wallet,
2025-03-25,Pembayaran Belanja,320110.0,Pengeluaran,Belanja,Debit,
2025-03-24,Pembayaran Belanja,85353.0,Pengeluaran,Belanja,E-Wallet,
2025-03-24,Pembayaran Lainnya,134464.0,Pengeluaran,Lainnya,E-Wallet,
2025-03-24,Pembayaran Belanja,85353.0,Pengeluaran,Belanja,E-Wallet,
2025-03-24,Pembayaran Lainnya,134464.0,Pengeluaran,Lainnya,E-Wallet,
2025-03-22,Pembayaran Hiburan,457188.0,Pengeluaran,Hiburan,Debit,
2025-03-22,Pembayaran Hiburan,118016.0,Pengeluaran,Hiburan,Debit,
2025-03-22,Pembayaran Transportasi,386553.0,Pengeluaran,Transportasi,Transfer Bank,
2025-03-22,Pembayaran Transportasi,386553.0,Pengeluaran,Transportasi,Transfer Bank,
2025-03-22,Pembayaran Hiburan,457188.0,Pengeluaran,Hiburan,Debit,
2025-03-22,Pembayaran Hiburan,118016.0,Pengeluaran,Hiburan,Debit,
2025-03-20,Pembayaran Transportasi,269232.0,Pengeluaran,Transportasi,E-Wallet,
2025-03-20,Pembayaran Transportasi,269232.0,Pengeluaran,Transportasi,E-Wallet,
2025-03-19,Pembayaran Belanja,363465.0,Pengeluaran,Belanja,Transfer Bank,
2025-03-19,Pembayaran Belanja,363465.0,Pengeluaran,Belanja,Transfer Bank,
2025-03-18,Pembayaran Belanja,25189.0,Pengeluaran,Belanja,Kartu Kredit,
2025-03-18,Pembayaran Makanan,193446.0,Pengeluaran,Makanan,Kartu Kredit,
2025-03-18,Pembayaran Belanja,25189.0,Pengeluaran,Belanja,Kartu Kredit,
2025-03-18,Pembayaran Makanan,215273.0,Pengeluaran,Makanan,Transfer Bank,
2025-03-18,Pembayaran Makanan,215273.0,Pengeluaran,Makanan,Transfer Bank,
2025-03-18,Pembayaran Makanan,193446.0,Pengeluaran,Makanan,Kartu Kredit,
2025-03-15,Pembayaran Belanja,209756.0,Pengeluaran,Belanja,E-Wallet,
2025-03-15,Pembayaran Transportasi,63191.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-03-15,Pembayaran Belanja,404339.0,Pengeluaran,Belanja,Tunai,
2025-03-15,Pembayaran Transportasi,63191.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-03-15,Pembayaran Belanja,209756.0,Pengeluaran,Belanja,E-Wallet,
2025-03-15,Pembayaran Belanja,404339.0,Pengeluaran,Belanja,Tunai,
2025-03-14,Pembayaran Lainnya,264805.0,Pengeluaran,Lainnya,E-Wallet,
2025-03-14,Pembayaran Transportasi,362747.0,Pengeluaran,Transportasi,Transfer Bank,
2025-03-14,Pembayaran Makanan,494775.0,Pengeluaran,Makanan,Kartu Kredit,
2025-03-14,Bonus Kinerja,1396884.0,Pendapatan,Bonus,Transfer Bank,
2025-03-14,Pembayaran Lainnya,264805.0,Pengeluaran,Lainnya,E-Wallet,
2025-03-14,Pembayaran Makanan,494775.0,Pengeluaran,Makanan,Kartu Kredit,
2025-03-14,Pembayaran Transportasi,362747.0,Pengeluaran,Transportasi,Transfer Bank,
2025-03-14,Bonus Kinerja,1396884.0,Pendapatan,Bonus,Transfer Bank,
2025-03-12,Pembayaran Makanan,452448.0,Pengeluaran,Makanan,E-Wallet,
2025-03-12,Pembayaran Hiburan,131755.0,Pengeluaran,Hiburan,Kartu Kredit,
2025-03-12,Pembayaran Kesehatan,196964.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-03-12,Pembayaran Makanan,452448.0,Pengeluaran,Makanan,E-Wallet,
2025-03-12,Pembayaran Hiburan,131755.0,Pengeluaran,Hiburan,Kartu Kredit,
2025-03-12,Pembayaran Kesehatan,196964.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-03-11,Pembayaran Belanja,219878.0,Pengeluaran,Belanja,Transfer Bank,
2025-03-11,Pembayaran Kesehatan,36197.0,Pengeluaran,Kesehatan,E-Wallet,
2025-03-11,Pembayaran Makanan,255412.0,Pengeluaran,Makanan,Kartu Kredit,
2025-03-11,Pembayaran Makanan,255412.0,Pengeluaran,Makanan,Kartu Kredit,
2025-03-11,Pembayaran Kesehatan,36197.0,Pengeluaran,Kesehatan,E-Wallet,
2025-03-11,Pembayaran Belanja,219878.0,Pengeluaran,Belanja,Transfer Bank,
2025-03-10,Pembayaran Hiburan,456606.0,Pengeluaran,Hiburan,Kartu Kredit,
2025-03-10,Pembayaran Lainnya,60641.0,Pengeluaran,Lainnya,E-Wallet,
2025-03-10,Pembayaran Kesehatan,76902.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-03-10,Pembayaran Hiburan,456606.0,Pengeluaran,Hiburan,Kartu Kredit,
2025-03-10,Pembayaran Lainnya,60641.0,Pengeluaran,Lainnya,E-Wallet,
2025-03-10,Pembayaran Kesehatan,76902.0,Pengeluaran,Kesehatan,Kartu Kredit,
2025-03-07,Pembayaran Makanan,293783.0,Pengeluaran,Makanan,Tunai,
2025-03-07,Pembayaran Belanja,44577.0,Pengeluaran,Belanja,E-Wallet,
2025-03-07,Pembayaran Transportasi,263088.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-03-07,Pembayaran Transportasi,263088.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-03-07,Pembayaran Makanan,293783.0,Pengeluaran,Makanan,Tunai,
2025-03-07,Pembayaran Belanja,44577.0,Pengeluaran,Belanja,E-Wallet,
2025-03-05,Pembayaran Belanja,471030.0,Pengeluaran,Belanja,Kartu Kredit,
2025-03-05,Pembayaran Lainnya,477089.0,Pengeluaran,Lainnya,Transfer Bank,
2025-03-05,Pembayaran Lainnya,477089.0,Pengeluaran,Lainnya,Transfer Bank,
2025-03-05,Pembayaran Belanja,471030.0,Pengeluaran,Belanja,Kartu Kredit,
2025-03-04,Pembayaran Kesehatan,294915.0,Pengeluaran,Kesehatan,E-Wallet,
2025-03-04,Pembayaran Makanan,402160.0,Pengeluaran,Makanan,Debit,
2025-03-04,Pembayaran Makanan,402160.0,Pengeluaran,Makanan,Debit,
2025-03-04,Pembayaran Kesehatan,294915.0,Pengeluaran,Kesehatan,E-Wallet,
2025-03-03,Pembayaran Lainnya,371611.0,Pengeluaran,Lainnya,Debit,
2025-03-03,Pembayaran Belanja,262088.0,Pengeluaran,Belanja,Kartu Kredit,
2025-03-03,Pembayaran Lainnya,371611.0,Pengeluaran,Lainnya,Debit,
2025-03-03,Pembayaran Belanja,262088.0,Pengeluaran,Belanja,Kartu Kredit,
2025-03-02,Pembayaran Transportasi,425099.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-03-02,Pembayaran Belanja,482847.0,Pengeluaran,Belanja,Transfer Bank,
2025-03-02,Pembayaran Transportasi,156923.0,Pengeluaran,Transportasi,Debit,
2025-03-02,Pembayaran Belanja,482847.0,Pengeluaran,Belanja,Transfer Bank,
2025-03-02,Pembayaran Transportasi,425099.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-03-02,Pembayaran Transportasi,156923.0,Pengeluaran,Transportasi,Debit,
2025-03-01,Pembayaran Hiburan,462348.0,Pengeluaran,Hiburan,Debit,
2025-03-01,Gaji Bulanan,7000000.0,Pendapatan,Gaji,Transfer Bank,
2025-03-01,Pembayaran Lainnya,99024.0,Pengeluaran,Lainnya,Tunai,
